French : Abondance  A firm- fruity and nutty cheese from the French Alps. Made in 20 pound wheels.,Abondance
American : Point Reyes Original Blue  Made from grade A unpasteurized milk taken from a closed herd of Holstein cows that graze on the green pastured hills overlooking Tomales Bay- California. There- the coastal fog and salty Pacific breezes conspire in lending the cheese a unique character. This blue is made within hours of milking- and then ages for a minimum of six months. It is a creamy- full-flavored blue cheese with definite hints of lemongrass and sea salt.,Point Reyes Original Blue
French : Pont L'Eveque  This semisoft- soft-ripened cheese from the Normandy region has a pronounced flavor- although its taste is not as strong as its smell. It has a firm body- yellow color and an edible crust. The crust has ridges because it is cured on straw mats. Pont L'Eveque is an excellent dessert cheese that goes very well with a robust wine.,Pont L'Eveque
French : Pouligny-Saint-Pierre  An unpasturized goat's cheese from Berry- it is soft to hard depending on the age. Also depending on age its color runs from a very white- creamy and fragile to a hard dry interior surrounded by a dark beige crust. All have a piquant flavor and goaty aroma.,Pouligny
"Swedish : Prastost  Its name means ""Priest Cheese"" in Swedish. This cheese received its name in the days when it was customary for Swedish farmers to donate a tenth of everything they produced to the local priest; and only the very best would do. A distinctive cheese with a rich and strong flavor- it is commonly served as a snack or shredded atop stew or soup.",Prastost
Argentine : Provoleta  Similar to Italian Provolone.,Provoleta
Italian : Provolone  Provolone has a slightly smoky flavor and is mellow and compact with a smooth- paste-like texture. Provolone has an inedible crust and has strings to hang from rafters. Aged long enough- Provolone can be grated. However- it is better known as a table or sandwich cheese.,Provolone
Switzerland : Raclette  A hard cheese with a subtle flavor- good aftertaste and firm texture. Raclette is pale yellow inside an inedible crust. Raclette is famous for a Swiss dish made by melting thin slices over broiled potatoes.,Raclette
French : Raclette  Similar to Swiss Raclette.,Raclette
Italian : Ragusano  A Provolone-type (drawn-curd) cheese from Sicily made from milk taken only from Modicana cows. Shaped like rounded rectangles- its history is closely related to that of Caciocavallo.,Ragusano
Italian : Raschera  From the Piedmont- this high altitude cheese is very similar to Toma. Formed in squares rather than wheels- its appearance provides much of its uniqueness. Raschera has a semi-soft texture with many scattered holes. Its flavor is buttery and slightly sweet.,Raschera
German : Rauchkase  Simply German for Smoked Cheese- the most famous brand is Bruder Basil. This cheese is semi-soft with a smoky brown rind.,Rauchkase
French : Reblochon  From the French Alps- Reblochon is a semisoft- pale yellow- creamy cheese with a nutty flavor. Reblochon is a dessert cheese that goes well with red wine.,Reblochon
Argentine : Reggianito  Similar to Italian Parmigiano Reggiano. Mostly used for grating.,Reggianito
Italian : Ricotta  Ricotta is made from whey collected from making other  and re-cooked. It is white- creamy and mild and is primarily used as an ingredient in lasagna.,Ricotta
Italian : Ricotta Salata  When fresh Ricotta goes through its natural aging process- a hard- pungent cheese suitable for eating or grating results. Like fresh Ricotta- Ricotta Salata is almost white in color.,Ricotta Salata
Australian : Roaring Forties Blue  A uniquely creamy blue cheese made exclusively by King Island Dairy.,Roaring Forties Blue
Italian : Robiola  This is a generic term that applies to many small-form- soft and creamy  from the Piedmont. Many Robiolas have a bloomy white rind and are made from a blend of cow and goat's milk.,Robiola
Spanish : Roncal  A hard cheese from Navarre produced from sheep's milk and aged for a minimum of three months. It has a hard beige to gray rind with beige interior which turns to amber with age. It has a rich- olivey- nutty flavor.,Roncal
French : Roquefort  The most famous blue-mold cheese in the world- authentic Roquefort comes from caves near the Spanish border and is made from sheep's milk. Roquefort is sharp- peppery- piquant and distinct. The blue mold is added to the curd by mixing it with powdered bread containing the Pennicillium Roqueforti mold. The French eat Roquefort as a dessert cheese- although most Americans prefer it in salads or dips.,Roquefort
Danish : Saga  Original Saga is a cross between blue cheese and brie; a creamy- blue-veined cheese with a white-mold rind. It is very mild for a blue-veined cheese. Saga is an excellent dessert cheese that should be served with fruit and wine. It is also an excellent cheese in salads or as a snack on a cracker. Saga is now made in America as well as in Denmark.,Saga
French : Saint Paulin  St. Paulin (also known as Port Salut- a licensed name) is a mild and very pleasing dessert or table cheese originally made by Trappist Monks. St. Paulin is creamy and butter-like- yet firm enough for slicing. Genuine Port Salut has an edible- orange rind. However- beware imitations that use a plastic- inedible rind. St. Paulin goes well with fruit and light wine.,Saint Paulin
French : Saint Nectaire  A semi-soft cow's milk cheese- disk shaped from Auvergne. It has a smooth reddish rind- ivory to straw colored interior- soft and supple texture. It is an earthy cheese with a fruity flavor and a grassy aroma.,Saint Nectaire
French : Saint Marcellin  A soft- rindless cow's milk cheese from Dauphine- it is disk shaped wrapped in chestnut leaves and dipped in wine or eau-de-vie. It typically has a beige crust with blue mold and a soft beige creamy interior. It has an intensely rustic- nutty- fruity flavor.,Saint Marcellin
Danish : Samsoe  Named for the island where it originated- Samsoe originally was a Danish copy of Swiss Emmental. Over time- it has developed a unique character of its own. It has a golden yellow color and is usually shrouded in wax. Its texture ranges from springy to firm and has a few scattered the size of cherries. Samsoe's flavor is quite mild with hints of hazelnut- becoming more pungent quality as the cheese matures.,Samsoe
Spanish : San Simon  Like Tetilla- San Simon is shaped like a breast- but more elongated like a dunce cap. From Galicia- San Simon is aged 2 to 4 weeks- lightly pressed and then gently smoked for 2 weeks after leaving the mold. Inside its red- polished brown rind- San Simon has a creamy- buttery- smoky flavor that ranges from mild to piquant.,San Simon
Portuguese : Sao Jorge  This large unpasteurized cow's milk cheese comes from the volcanic island of the same name in Portugal's Azores archipelago. It has a cheddary flavor with hints of black pepper.,Sao Jorge
Switzerland : Sap Sago  A tiny- green- 2 ounce cheese wrapped in foil- Sap Sago is a very hard grating cheese with a sharp flavor and a pungent aroma due to the use of a powder made from clover leaves added to the cheese during manufacture. Sap Sago is not an eating cheese- but is good as a food topping and in cooking.,Sap Sago
Argentine : Sardo  Another grating cheese- similar to Italian Romano.,Sardo
Switzerland : Sbrinz  This hard- grainy cheese is one of the world's oldest- dating back to 23 A.D. Made high in the Alps in Switzerland's central region- Sbrinz is often compared to Parmigiano Reggiano. Like Reggiano- Sbrinz comes in massive 80 pound wheels and is made from unpasteurized cow's milk. Aged for at least 18 months- this cheese is hard enough to grate. The Swiss enjoy it shaved in paper-thin slices and served as an appetizer with air-dried beef and tomatoes.,Sbrinz
Italian : Scamorza  From Molise- Tuscany and Abruzzo- this drawn-curd cheese (pasta filata) can be plain or smoked. It is best served fresh- as it hardens too much with age. Smaller than an adult fist- the flavor of this little cheese varies greatly depending on the quality of the milk used in its production.,Scamorza
Portuguese : Serpa  A raw sheep's milk cheese from the Alentejo region- Serpa is considered to be the most famous traditional cheese from this region. Made only from milk taken from Merino sheep- this cheese has a straw-yellow colored rind covering a buttery interior with few holes.,Serpa
English : Shropshire Blue  Basically Stilton with orange food coloring.,Shropshire Blue
Holand / Dutch : Smoked Gouda  Smoked slowly in ancient brick ovens over smoldering hickory chip embers- this sausage shaped cheese is perfect for impromptu picnics- party platters or midnight snacks. Sensational with beer- this hardy cheese has an edible brown rind and a creamy- yellow interior.,Smoked Gouda
"English : Stilton  Historically referred to as ""The King Of -"" Stilton is a blue-mold cheese with a rich and mellow flavor and a piquant aftertaste. It has narrow blue-green veins and a wrinkled rind which is not edible. Stilton is milder than Roquefort or Gorgonzola and is equally excellent for crumbling over salads or as a dessert cheese served with a Port Wine.",Stilton
Italian : Taleggio  This semisoft- uncooked cheese from the region around Bergamo gains flavor and an accompanying odor as the cheese ages. The crust is pinkish-gray and the paste is white- supple and fruity. Taleggio is an excellent dessert cheese that goes very well with a robust wine.,Taleggio
American - Teleme  Teleme is a California original that is now made in Maine. This soft- creamy white cheese has a slightly tangy- even lemony flavor and a pronounced runny quality that develops as it ages.,Teleme
"Switzerland : Tete de Moine  The literal translation of the French words ""Tete de Moine"" is ""Monk's Head"". Although this fine Swiss product was first created by monks- it is now produced by the lay community. Tete de Moine- made in the Swiss Alps near the town of Bellelay from rich unpasteurized cows' milk- is a sharp cheese with a full- nutty flavor. Its intense flavor is even more pronounced when served using a Girolle - a special type of knife that creates thinly shaved cones of the cheese.",Tete de Moine
Spanish : Tetilla  A semisoft cheese produced from cow's milk in the Galicia region- it comes in squat cone shaped like a woman's breast (hence the name) about five inches in diameter. It has a greenish beige rind and a white interior. It has a mild and tangy flavor.,Tetilla
German : Tilsit  A natural semi-soft cheese- German Tilsit has a stronger flavor than its Scandinavian cousins. It has tiny hole formation and a firm texture suitable for slicing. Tilsit is an excellent sandwich cheese- good with robust wine or beer.,Tilsit
Switzerland : Tilsiter  Natural- simple and highly appreciated- Tilsiter cheese has been synonymous with genuine Swiss flavor since the early 1900s. Enjoy it melted or chunked- served with a glass of Viognier.,Tilsiter
Italian : Toma Piedmontese  A simple cheese that was originally eaten only by peasants- today's Toma is a gourmet treat. Rich and creamy in flavor- Toma has strong hints of grass and hay in every bite.,Toma Piedmontese
French : Tomme de Savoie  A semi firm- dish shaped cow's milk cheese from Savoie in the French Alps. It has a distinct thick gray-brown rind with a beige or straw colored paste. It has a slightly salty- mild but savory taste with an aroma reminiscent of a cheese cellar.,Tomme de Savoie
"Spanish : Torta del Casar  This unpasteurized sheep's milk cheese has a fine- soft delicate rind with a yellowish color. The interior is creamy and spreadable- almost spoonable. With a special aroma and strong mature taste- Torta del Casar is also slightly salty and a tad bitter due to the use of ""cuajo"" for coagulation. Served by spoon at room temperature with the top of the wheel sliced off.",Torta del Casar
French : Triple Cremes  These milky- runny  are a must for the dessert course. Varieties include Brillat Savarin- Pierre Robert- St. Andre and Explorateur. Triple cremes are only slightly more evolved than butter- bearing a thin rind and best served at the peak of freshness.,Triple Cremes
Spanish : Tronchon  A semisoft cheese made from blended cow's- goat's and sheep's milk. It comes in rindless wheels with a dimple on top- a by-product of the manufacturing process. The interior is bone white and has many small holes.,Tronchon
Finnish : Turunmaa  Similar to Danish Cream Havarti- Turunmaa is a deliciously mild- very creamy- natural- semisoft cheese laced with small to mid-sized holes. Like Cream Havarti- it is both a table cheese and a breakfast cheese to be served with fruit and bread.,Turunmaa
"Italian : Ubriaco  An Italian word meaning ""tipsy""- this family of  are expertly bathed or brushed with wine or must during aging. Eating Ubriaco is like enjoying wine and cheese in one bite.",Ubriaco
Switzerland : Vacherin Fribourgeois  In the warm season- the pastures in the heart of the Fribourg Pre-Alps come to life with an almost endless variety of delicately scented flora. Vacherin Fribourgeois is made in these hills. It has a firm texture and an ivory to yellow colored interior. Its flavor is fruity and aromatic with a slight but enjoyable bitterness.,Vacherin Fribourgeois
French : Vacherin Mont d'Or  A cheese that is soft enough to be spooned- it is made in both the French and Swiss Alps. Vacherin is held together during aging by a band of wood bark that remains on the cheese until you (the consumer) remove it.,Vacherin Mont d'Or
Spanish : Valdeon  This blue cheese is often sold as Cabrales in the United States because of its similarly bold bold blue. It is made in the Castille-Leon region- where each wheel is wrapped in chestnut leaves before being sent to market.,Valdeon
Holand / Dutch : Van Dijk  A maker of fresh and aged Dutch goat - available plain or flavored with unique ingredients like potato skins- basil oil- coriander and marigold petals. Brands include Dorothea- Cornelia and Marygold.,Van Dijk
"Swedish : Vasterbotten  Is the traditional Swedish celebration cheese. To many Swedes- it is considered the ""Emperor of ""- either because of its heft (it is made in 40 pound wheels) or its full flavor. Produced in Northern Sweden- Vasterbotten is aged for over 11 months and has a dry texture- reminiscent of a young Parmigiano Reggiano or an aged Cheddar. Its flavor is rich and full-bodied with a tangy- bittersweet bite.",Vasterbotten
"Switzerland : Vignerons  Like most Swiss - Vignerons is a ""mountain cheese"". This is a term that refers to a large cheese that is made in the mountains from high-pasture milk. These  are usually firm- long-aged- and made from raw cow's milk. High Alpine pastures produce a thicker- more flavorful array of plants than do fields at lower altitudes. The cattle that graze on these pastures produce milk that is higher in butterfat than average cow's milk and- therefore- commands a high price and is prized for cheese making. Vignerons- commonly known as ""winemaker's cheese""- is made using this milk and has a firm- satiny body with a scattering of small holes. The flavor is similar to but slightly stronger than a premium Gruyere- with a distinct nutty sweetness.",Vignerons
English : Wensleydale  Traditionally blue- because the cheese is lightly pressed- allowing the mould to penetrate. And blue Wensleydales are still available. But today it is usually a creamy white- crumbly cheese- with a fine curd and minimal texturing- thus a high moisture content. White Wensleydale is usually eaten young- at about a month old. Wensleydale is produced in Cheshire.,Wensleydale
English : White Stilton  A white version of the famous British blue cheese- it is available plain or flavored with numerous candied or dried fruits.,White Stilton
New Zealand : Whitestone  A family dairy located in the limestone country of the central South Island of New Zealand- in the heart of North Otago's downlands. Their varieties include Livingstone Gold- Windsor Blue- Island Stream and Airedale.,Whitestone
Belgian : Wynendale  A decidedly spicy- ultra creamy cheese with a pronounced aroma.,Wynendale
Spanish : Zamorano  Made in Castille-Leon- where it is matured for 6 months in a high humidity environment to encourage the formation of a natural rind. Subtle hints of caramel and grass burst through the buttery nature of the cheese- making it ideal to serve with ham- fruit and some crusty bread.,Zamorano
